sample_type,time_year,eta_mean,eta_ci95_low,eta_median,eta_ci95_high,beta_mean,beta_ci95_low,beta_median,beta_ci95_high,pf_mean,pf_ci95_low,pf_median,pf_ci95_high,qservice_max_beta3_mean,qservice_max_beta3_ci95_low,qservice_max_beta3_median,qservice_max_beta3_ci95_high
prior,0.0,0.9500000000000001,0.95,0.95,0.95,2.167266791106727,2.1672667911067265,2.1672667911067265,2.1672667911067265,0.015107258569036388,0.015107258569036386,0.015107258569036386,0.015107258569036386,714.5877964129263,714.5877964129262,714.5877964129262,714.5877964129262
prior,1.0,0.9276926218825597,0.8960053233661612,0.9304894149736551,0.9437800744613116,2.131930895771507,2.081266464370796,2.1364270882046865,2.1574637506204626,0.016523528042314054,0.015484759907021334,0.01632227803792209,0.01870474974024769,707.6373777301197,697.7644114650319,708.508788204715,712.649823853257
prior,2.0,0.9063174037108485,0.845970470948905,0.9115652698908439,0.9376286216488404,2.097647402740557,1.9997016652868371,2.1062605078986154,2.147742373067683,0.01803800854956718,0.0158669697893998,0.017590829258973734,0.022765969515922926,700.9773966714952,682.1748082762789,702.6124999521354,710.7331856751119
prior,3.0,0.88582710735329,0.7995619678508463,0.8931852389520991,0.931541100649369,2.064392635764214,1.9223646415003657,2.076717961065504,2.1380961866025023,0.019648449502763086,0.016254219676684407,0.018913708935903016,0.027279822173550825,694.5931350218272,667.7150844451912,696.8857439992545,708.8364670439958
prior,4.0,0.8661772643064525,0.756460913029394,0.8753732697464292,0.9255199950885955,2.032142325842795,1.8490243393531314,2.0478559199520388,2.1285298168261235,0.021351349190890476,0.016646448137835248,0.020286645847114988,0.03222617697710068,688.4707375124499,654.2858784173666,691.3359818132684,706.9604417952897
prior,5.0,0.8473259951190112,0.7165382540921786,0.8580538391753991,0.9195595670817098,2.000871740738318,1.7797368380818028,2.0195689397815006,2.1190348157757932,0.023142106072299256,0.017043577383631773,0.021713192067541402,0.03755940101708723,682.5971555582993,641.8469807090071,685.939682293768,705.1033221482169
prior,6.0,0.8292338415234444,0.67942338252095,0.8412763730328684,0.9136650250650147,1.9705558092874995,1.7141071873244547,1.9919541208929876,2.109620144505761,0.025015202531546887,0.01744552662636461,0.02318786310553443,0.04325267094447627,676.9600949543675,630.2829190151341,680.7122452765941,703.2667309206984
prior,7.0,0.8118636103303435,0.644943353200912,0.8249878422893913,0.9078291408413803,1.9411692392591888,1.6520486502317664,1.9649404260517758,2.1002749085114973,0.02696440446629109,0.017852142480151243,0.024710435365022997,0.04925838566018286,671.5479672370897,619.5398079821819,675.6371482482068,701.448415988074
prior,8.0,0.7951802282134347,0.6129611239343632,0.8091877104117876,0.9020560922345205,1.9126866277696803,1.5935161004432403,1.9385421322269807,2.0910064280550476,0.028982962103328565,0.018263607562661415,0.026278251839114208,0.05552150252089786,666.3498444390048,609.5749487037068,670.7142240383442,699.6496790552696
prior,9.0,0.7791506065807641,0.5831281817550947,0.7938415922985801,0.8963598370877389,1.8850825635336232,1.5380480319216765,1.9127162423491948,2.081837852869351,0.031063800546211367,0.018678550796915435,0.027892136815154962,0.062016122992036564,661.355416986012,600.2797532937287,665.932759113105,697.8748690356524
prior,10.0,0.7637435157894997,0.5554845153656962,0.7790115494522443,0.8907313603947198,1.8583317204771352,1.4858783616322295,1.8875820612422913,2.0727554410998876,0.03319969200886738,0.019097373085327784,0.029541016696450727,0.06865358284301824,656.5549545058615,591.666681227499,661.3120902777383,696.121177079702
prior,11.0,0.748929468018867,0.5296401667774006,0.7645444108645335,0.8851584285474259,1.832408942466458,1.4364128698270524,1.862893138586967,2.0637400882300483,0.035383404955314744,0.019520318809374656,0.03123862502639231,0.07544140442525464,651.939269334304,583.614231391065,656.8044932935744,694.3847915024495
prior,12.0,0.7346806081682619,0.5057314369623214,0.7505356688245536,0.8796326116781232,1.807289319105316,1.3900405496505446,1.8388244896647281,2.0547786671178536,0.03760782812228979,0.019949592033793234,0.032970020346726366,0.08225786023942637,647.4996825216831,576.1648717435958,652.4397211592297,692.663085768859
prior,13.0,0.7209706121959729,0.4833248679577654,0.7369554995309477,0.8741969475365395,1.7829482527245533,1.3460342606374058,1.8153379790071873,2.0459416908492405,0.03986606951231715,0.020380103686550695,0.03473597359370994,0.08914530712033904,643.2279921578344,569.1835476719378,648.2084815273449,690.969469360681
prior,14.0,0.7077745923584796,0.46250510376649195,0.7237387067061005,0.8688435068692972,1.7593615168279115,1.3046579525435227,1.7923322398209178,2.0372171920237983,0.042151531906939044,0.02081351058980416,0.03653926012241443,0.0959947145623397,639.1164438470315,562.6966321211801,644.0904608754789,689.301471721738
prior,15.0,0.6950690088513488,0.4430203344711381,0.7110549575128386,0.8634551498869376,1.7365053063686426,1.2655003587609974,1.7701156100496038,2.028414445171986,0.04445796734204389,0.021258054487089287,0.03835263695627765,0.10284074854821117,635.1577031775095,556.6256674462807,640.1385232297026,687.6225950360669
prior,16.0,0.6828315873905473,0.42475547198957747,0.6986625441267945,0.858184803019008,1.7143562803149677,1.2284045868315798,1.7482764140453717,2.0197836705110896,0.04677951342488528,0.02170233873485508,0.04020757120779948,0.10964048050544492,631.3448300418703,550.9347950917444,636.277358503397,685.9804873377582
prior,17.0,0.6710412423078431,0.4077575259511883,0.6866374528981893,0.8529455127062071,1.6928915970206946,1.1935360500105203,1.7269574860811914,2.011183251813584,0.04911071447687251,0.022151788055746146,0.04208605351099183,0.11631274964380191,627.6712546755434,545.6386620772512,632.5306421345912,684.3480560819188
