kH,kz,chi_min,rs,eta_eff_50yr,chiH,chis_50yr,qu50_kPa,beta50,pf50
0.4,0.4,0.65,0.1,0.44571720115074115,0.9179150013761012,0.980133617659835,886.1302397174135,-0.5544397722893035,0.7103610433649734
0.4,0.4,0.65,0.18,0.44571720115074115,0.9179150013761012,0.964240511787703,884.0850070905677,-0.5735177080586897,0.7168528936469821
0.4,0.4,0.65,0.25,0.44571720115074115,0.9179150013761012,0.9503340441495874,882.2954285420777,-0.590283457198411,0.72249968589466
0.4,0.4,0.75,0.1,0.44571720115074115,0.9179150013761012,0.980133617659835,886.1302397174135,-0.5544397722893035,0.7103610433649734
0.4,0.4,0.75,0.18,0.44571720115074115,0.9179150013761012,0.964240511787703,884.0850070905677,-0.5735177080586897,0.7168528936469821
0.4,0.4,0.75,0.25,0.44571720115074115,0.9179150013761012,0.9503340441495874,882.2954285420777,-0.590283457198411,0.72249968589466
0.4,0.4,0.85,0.1,0.44571720115074115,0.9179150013761012,0.980133617659835,886.1302397174135,-0.5544397722893035,0.7103610433649734
0.4,0.4,0.85,0.18,0.44571720115074115,0.9179150013761012,0.964240511787703,884.0850070905677,-0.5735177080586897,0.7168528936469821
0.4,0.4,0.85,0.25,0.44571720115074115,0.9179150013761012,0.9503340441495874,882.2954285420777,-0.590283457198411,0.72249968589466
0.4,0.9199248120300751,0.65,0.1,0.4350502728396387,0.9179150013761012,0.9810731260102156,883.122145530538,-0.5825298765115021,0.7198950882856389
0.4,0.9199248120300751,0.65,0.18,0.4350502728396387,0.9179150013761012,0.9659316268183881,881.2219264565244,-0.6003732865658362,0.7258712565860029
0.4,0.9199248120300751,0.65,0.25,0.4350502728396387,0.9179150013761012,0.952682815025539,879.5592347667625,-0.6160495152999658,0.731069079838654
0.4,0.9199248120300751,0.75,0.1,0.4350502728396387,0.9179150013761012,0.9810731260102156,883.122145530538,-0.5825298765115021,0.7198950882856389
0.4,0.9199248120300751,0.75,0.18,0.4350502728396387,0.9179150013761012,0.9659316268183881,881.2219264565244,-0.6003732865658362,0.7258712565860029
0.4,0.9199248120300751,0.75,0.25,0.4350502728396387,0.9179150013761012,0.952682815025539,879.5592347667625,-0.6160495152999658,0.731069079838654
0.4,0.9199248120300751,0.85,0.1,0.4350502728396387,0.9179150013761012,0.9810731260102156,883.122145530538,-0.5825298765115021,0.7198950882856389
0.4,0.9199248120300751,0.85,0.18,0.4350502728396387,0.9179150013761012,0.9659316268183881,881.2219264565244,-0.6003732865658362,0.7258712565860029
0.4,0.9199248120300751,0.85,0.25,0.4350502728396387,0.9179150013761012,0.952682815025539,879.5592347667625,-0.6160495152999658,0.731069079838654
0.4,1.5,0.65,0.1,0.4296403847278113,0.9179150013761012,0.9815409139810938,881.5948246446274,-0.5968656369913461,0.7247014543749764
0.4,1.5,0.65,0.18,0.4296403847278113,0.9179150013761012,0.9667736451659689,879.7654322713923,-0.6141022206451181,0.730426109535276
0.4,1.5,0.65,0.25,0.4296403847278113,0.9179150013761012,0.9538522849527346,878.1647139448116,-0.629243141664396,0.7354050555492635
0.4,1.5,0.75,0.1,0.4296403847278113,0.9179150013761012,0.9815409139810938,881.5948246446274,-0.5968656369913461,0.7247014543749764
0.4,1.5,0.75,0.18,0.4296403847278113,0.9179150013761012,0.9667736451659689,879.7654322713923,-0.6141022206451181,0.730426109535276
0.4,1.5,0.75,0.25,0.4296403847278113,0.9179150013761012,0.9538522849527346,878.1647139448116,-0.629243141664396,0.7354050555492635
0.4,1.5,0.85,0.1,0.4296403847278113,0.9179150013761012,0.9815409139810938,881.5948246446274,-0.5968656369913461,0.7247014543749764
0.4,1.5,0.85,0.18,0.4296403847278113,0.9179150013761012,0.9667736451659689,879.7654322713923,-0.6141022206451181,0.730426109535276
0.4,1.5,0.85,0.25,0.4296403847278113,0.9179150013761012,0.9538522849527346,878.1647139448116,-0.629243141664396,0.7354050555492635
0.7239348370927319,0.4,0.65,0.1,0.44571720115074115,0.7487582851167804,0.980133617659835,862.8865002212588,-0.7765839937002488,0.781297875980182
0.7239348370927319,0.4,0.65,0.18,0.44571720115074115,0.7487582851167804,0.964240511787703,861.2181705044046,-0.7929897131247599,0.7861080919148293
0.7239348370927319,0.4,0.65,0.25,0.44571720115074115,0.7487582851167804,0.9503340441495874,859.7583820021573,-0.807396946424136,0.7902810871773737
0.7239348370927319,0.4,0.75,0.1,0.44571720115074115,0.7487582851167804,0.980133617659835,862.8865002212588,-0.7765839937002488,0.781297875980182
0.7239348370927319,0.4,0.75,0.18,0.44571720115074115,0.7487582851167804,0.964240511787703,861.2181705044046,-0.7929897131247599,0.7861080919148293
0.7239348370927319,0.4,0.75,0.25,0.44571720115074115,0.7487582851167804,0.9503340441495874,859.7583820021573,-0.807396946424136,0.7902810871773737
0.7239348370927319,0.4,0.85,0.1,0.44571720115074115,0.7487582851167804,0.980133617659835,862.8865002212588,-0.7765839937002488,0.781297875980182
0.7239348370927319,0.4,0.85,0.18,0.44571720115074115,0.7487582851167804,0.964240511787703,861.2181705044046,-0.7929897131247599,0.7861080919148293
0.7239348370927319,0.4,0.85,0.25,0.44571720115074115,0.7487582851167804,0.9503340441495874,859.7583820021573,-0.807396946424136,0.7902810871773737
0.7239348370927319,0.9199248120300751,0.65,0.1,0.4350502728396387,0.7487582851167804,0.9810731260102156,860.4327485759995,-0.8007352791347647,0.7883575429169596
0.7239348370927319,0.9199248120300751,0.65,0.18,0.4350502728396387,0.7487582851167804,0.9659316268183881,858.8827087868344,-0.816062813851839,0.7927678945933787
0.7239348370927319,0.9199248120300751,0.65,0.25,0.4350502728396387,0.7487582851167804,0.952682815025539,857.5264239713149,-0.8295198612380595,0.7965948485491882
0.7239348370927319,0.9199248120300751,0.75,0.1,0.4350502728396387,0.7487582851167804,0.9810731260102156,860.4327485759995,-0.8007352791347647,0.7883575429169596
0.7239348370927319,0.9199248120300751,0.75,0.18,0.4350502728396387,0.7487582851167804,0.9659316268183881,858.8827087868344,-0.816062813851839,0.7927678945933787
0.7239348370927319,0.9199248120300751,0.75,0.25,0.4350502728396387,0.7487582851167804,0.952682815025539,857.5264239713149,-0.8295198612380595,0.7965948485491882
0.7239348370927319,0.9199248120300751,0.85,0.1,0.4350502728396387,0.7487582851167804,0.9810731260102156,860.4327485759995,-0.8007352791347647,0.7883575429169596
0.7239348370927319,0.9199248120300751,0.85,0.18,0.4350502728396387,0.7487582851167804,0.9659316268183881,858.8827087868344,-0.816062813851839,0.7927678945933787
0.7239348370927319,0.9199248120300751,0.85,0.25,0.4350502728396387,0.7487582851167804,0.952682815025539,857.5264239713149,-0.8295198612380595,0.7965948485491882
0.7239348370927319,1.5,0.65,0.1,0.4296403847278113,0.7487582851167804,0.9815409139810938,859.186887940055,-0.8130505833672049,0.7919054713600846
0.7239348370927319,1.5,0.65,0.18,0.4296403847278113,0.7487582851167804,0.9667736451659689,857.6946226495481,-0.8278486835335637,0.7961219000563976
0.7239348370927319,1.5,0.65,0.25,0.4296403847278113,0.7487582851167804,0.9538522849527346,856.3888905203545,-0.8408393260428684,0.7997810236456362
0.7239348370927319,1.5,0.75,0.1,0.4296403847278113,0.7487582851167804,0.9815409139810938,859.186887940055,-0.8130505833672049,0.7919054713600846
