parameter,factor,C5_epsilon_p_eff_50,C5_qu50,C5_beta50
Acyc,0.5,0.007156748595351395,850.6172947161849,-0.758301298295285
Acyc,1.0,0.01374439663006874,846.5195439000668,-0.7899372980910122
Acyc,2.0,0.025389810607641432,839.7363639165086,-0.8426438049486122
CDR0,0.75,0.017392644688870338,844.3328198857109,-0.8068822586631273
CDR0,1.0,0.01374439663006874,846.5195439000668,-0.7899372980910122
CDR0,1.25,0.010483748945687498,848.5233708722653,-0.7744479992998066
mcyc,0.75,0.0323305780620413,835.9565498264745,-0.8721986562229478
mcyc,1.0,0.01374439663006874,846.5195439000668,-0.7899372980910122
mcyc,1.25,0.0054635350655933895,851.7024810410278,-0.7499488218047239
rcyc,0.75,0.013563944379426655,846.6292095328503,-0.7890886503305963
rcyc,1.0,0.01374439663006874,846.5195439000668,-0.7899372980910122
rcyc,1.25,0.013932101068001282,846.4056226746104,-0.7908189941969468
ap,0.5,0.01374439663006874,849.4917163441277,-0.7669759304737576
ap,1.0,0.01374439663006874,846.5195439000668,-0.7899372980910122
ap,1.5,0.01374439663006874,843.7063637721575,-0.8117447650352629
bp,0.5,0.01374439663006874,847.8265626317287,-0.7798300761103462
bp,1.0,0.01374439663006874,846.5195439000668,-0.7899372980910122
bp,1.5,0.01374439663006874,845.2610047097503,-0.7996843848505818
