time_year,scenario,S_chem,S_flow,S_WD,S_env
0.0,A,1.0,1.0,1.0,1.0
0.25,A,1.0,1.0,1.0,1.0
0.5,A,1.0,1.0,1.0,1.0
0.75,A,1.0,1.0,1.0,1.0
1.0,A,1.0,1.0,1.0,1.0
1.25,A,1.0,1.0,1.0,1.0
1.5,A,1.0,1.0,1.0,1.0
1.75,A,1.0,1.0,1.0,1.0
2.0,A,1.0,1.0,1.0,1.0
2.25,A,1.0,1.0,1.0,1.0
2.5,A,1.0,1.0,1.0,1.0
2.75,A,1.0,1.0,1.0,1.0
3.0,A,1.0,1.0,1.0,1.0
3.25,A,1.0,1.0,1.0,1.0
3.5,A,1.0,1.0,1.0,1.0
3.75,A,1.0,1.0,1.0,1.0
4.0,A,1.0,1.0,1.0,1.0
4.25,A,1.0,1.0,1.0,1.0
4.5,A,1.0,1.0,1.0,1.0
4.75,A,1.0,1.0,1.0,1.0
5.0,A,1.0,1.0,1.0,1.0
5.25,A,1.0,1.0,1.0,1.0
5.5,A,1.0,1.0,1.0,1.0
5.75,A,1.0,1.0,1.0,1.0
6.0,A,1.0,1.0,1.0,1.0
6.25,A,1.0,1.0,1.0,1.0
6.5,A,1.0,1.0,1.0,1.0
6.75,A,1.0,1.0,1.0,1.0
7.0,A,1.0,1.0,1.0,1.0
7.25,A,1.0,1.0,1.0,1.0
7.5,A,1.0,1.0,1.0,1.0
7.75,A,1.0,1.0,1.0,1.0
8.0,A,1.0,1.0,1.0,1.0
8.25,A,1.0,1.0,1.0,1.0
8.5,A,1.0,1.0,1.0,1.0
8.75,A,1.0,1.0,1.0,1.0
9.0,A,1.0,1.0,1.0,1.0
9.25,A,1.0,1.0,1.0,1.0
9.5,A,1.0,1.0,1.0,1.0
9.75,A,1.0,1.0,1.0,1.0
10.0,A,1.0,1.0,1.0,1.0
10.25,A,1.0,1.0,1.0,1.0
10.5,A,1.0,1.0,1.0,1.0
10.75,A,1.0,1.0,1.0,1.0
11.0,A,1.0,1.0,1.0,1.0
11.25,A,1.0,1.0,1.0,1.0
11.5,A,1.0,1.0,1.0,1.0
11.75,A,1.0,1.0,1.0,1.0
12.0,A,1.0,1.0,1.0,1.0
12.25,A,1.0,1.0,1.0,1.0
12.5,A,1.0,1.0,1.0,1.0
12.75,A,1.0,1.0,1.0,1.0
