scenario,time_year,new_first_crossings,survivors_at_start,hazard_hj,survival_S,pf_life,pf_terminal_at_t
T,0.0,0,50000,0.0,1.0,0.0,0.0
T,1.0,0,50000,0.0,1.0,0.0,0.0
T,2.0,0,50000,0.0,1.0,0.0,0.0
T,3.0,0,50000,0.0,1.0,0.0,0.0
T,4.0,0,50000,0.0,1.0,0.0,0.0
T,5.0,0,50000,0.0,1.0,0.0,0.0
T,6.0,0,50000,0.0,1.0,0.0,0.0
T,7.0,0,50000,0.0,1.0,0.0,0.0
T,8.0,0,50000,0.0,1.0,0.0,0.0
T,9.0,0,50000,0.0,1.0,0.0,0.0
T,10.0,0,50000,0.0,1.0,0.0,0.0
T,11.0,0,50000,0.0,1.0,0.0,0.0
T,12.0,1,50000,2e-05,0.99998,2.0000000000020002e-05,2e-05
T,13.0,0,49999,0.0,0.99998,2.0000000000020002e-05,2e-05
T,14.0,0,49999,0.0,0.99998,2.0000000000020002e-05,2e-05
T,15.0,1,49999,2.000040000800016e-05,0.99996,4.0000000000040004e-05,4e-05
T,16.0,1,49998,2.000080003200128e-05,0.99994,5.999999999994898e-05,6e-05
T,17.0,1,49997,2.000120007200432e-05,0.99992,7.999999999996898e-05,8e-05
T,18.0,1,49996,2.000160012801024e-05,0.9999,9.999999999998899e-05,0.0001
T,19.0,2,49995,4.0004000400040005e-05,0.99986,0.000140000000000029,0.00014
T,20.0,0,49993,0.0,0.99986,0.000140000000000029,0.00014
T,21.0,1,49993,2.000280039205489e-05,0.99984,0.000160000000000049,0.00016
T,22.0,1,49992,2.0003200512081932e-05,0.99982,0.00017999999999995797,0.00018
T,23.0,3,49991,6.001080194434998e-05,0.99976,0.00024000000000001798,0.00024
T,24.0,8,49988,0.00016003840921821236,0.9996,0.00039999999999995595,0.0004
T,25.0,2,49980,4.001600640256102e-05,0.99956,0.00043999999999999595,0.00044
T,26.0,3,49978,6.002641162111329e-05,0.9995,0.0004999999999999449,0.0005
T,27.0,6,49975,0.0001200600300150075,0.99938,0.0006199999999999539,0.00062
T,28.0,5,49969,0.00010006203846384759,0.99928,0.0007200000000000539,0.00072
T,29.0,6,49964,0.00012008646225282203,0.99916,0.0008399999999999519,0.00084
T,30.0,2,49958,4.003362824772809e-05,0.99912,0.0008799999999999919,0.00088
T,31.0,6,49956,0.00012010569300984866,0.999,0.0010000000000000009,0.001
T,32.0,3,49950,6.006006006006006e-05,0.99894,0.0010599999999999499,0.00106
T,33.0,11,49947,0.00022023344745430155,0.99872,0.0012799999999999478,0.00128
T,34.0,2,49936,4.005126561999359e-05,0.99868,0.0013199999999999878,0.00132
T,35.0,12,49934,0.0002403172187287219,0.99844,0.0015600000000000058,0.00156
T,36.0,10,49922,0.00020031248748046953,0.99824,0.0017599999999999838,0.00176
T,37.0,20,49912,0.0004007052412245552,0.99784,0.0021600000000000508,0.00216
T,38.0,8,49892,0.00016034634811192176,0.99768,0.0023199999999999887,0.00232
T,39.0,9,49884,0.00018041857108491702,0.9975,0.0024999999999999467,0.0025
T,40.0,16,49875,0.0003208020050125313,0.99718,0.0028200000000000447,0.00282
T,41.0,10,49859,0.0002005655949778375,0.99698,0.0030200000000000227,0.00302
T,42.0,5,49849,0.00010030291480270417,0.99688,0.0031200000000000117,0.00312
T,43.0,13,49844,0.0002608137388652596,0.99662,0.0033800000000000496,0.00338
T,44.0,12,49831,0.00024081395115490358,0.99638,0.0036199999999999566,0.00362
T,45.0,11,49819,0.00022079929344226098,0.99616,0.0038399999999999546,0.00384
T,46.0,14,49808,0.00028107934468358495,0.99588,0.0041200000000000125,0.00412
T,47.0,17,49794,0.00034140659517210907,0.99554,0.0044600000000000195,0.00446
T,48.0,15,49777,0.0003013439942141953,0.99524,0.0047599999999999865,0.00476
T,49.0,7,49762,0.00014066958723523974,0.9951,0.0049000000000000155,0.0049
T,50.0,11,49755,0.00022108330821023014,0.99488,0.005120000000000013,0.00512
O,0.0,0,50000,0.0,1.0,0.0,0.0
O,1.0,0,50000,0.0,1.0,0.0,0.0
O,2.0,0,50000,0.0,1.0,0.0,0.0
O,3.0,0,50000,0.0,1.0,0.0,0.0
O,4.0,0,50000,0.0,1.0,0.0,0.0
O,5.0,0,50000,0.0,1.0,0.0,0.0
O,6.0,0,50000,0.0,1.0,0.0,0.0
O,7.0,0,50000,0.0,1.0,0.0,0.0
O,8.0,0,50000,0.0,1.0,0.0,0.0
O,9.0,0,50000,0.0,1.0,0.0,0.0
O,10.0,0,50000,0.0,1.0,0.0,0.0
O,11.0,0,50000,0.0,1.0,0.0,0.0
O,12.0,0,50000,0.0,1.0,0.0,0.0
O,13.0,0,50000,0.0,1.0,0.0,0.0
O,14.0,1,50000,2e-05,0.99998,2.0000000000020002e-05,2e-05
O,15.0,12,49999,0.00024000480009600192,0.99974,0.000260000000000038,0.00026
O,16.0,154,49987,0.003080801008262148,0.99666,0.0033400000000000096,0.00334
O,17.0,593,49833,0.011899745148796981,0.9848,0.015199999999999991,0.0152
O,18.0,745,49240,0.015129975629569456,0.9699,0.030100000000000016,0.0301
O,19.0,0,48495,0.0,0.9699,0.030100000000000016,0.0221
O,20.0,0,48495,0.0,0.9699,0.030100000000000016,0.00728
O,21.0,0,48495,0.0,0.9699,0.030100000000000016,0.00168
O,22.0,0,48495,0.0,0.9699,0.030100000000000016,0.00026
O,23.0,0,48495,0.0,0.9699,0.030100000000000016,6e-05
O,24.0,0,48495,0.0,0.9699,0.030100000000000016,6e-05
O,25.0,0,48495,0.0,0.9699,0.030100000000000016,4e-05
O,26.0,0,48495,0.0,0.9699,0.030100000000000016,6e-05
O,27.0,0,48495,0.0,0.9699,0.030100000000000016,6e-05
O,28.0,0,48495,0.0,0.9699,0.030100000000000016,0.0
O,29.0,0,48495,0.0,0.9699,0.030100000000000016,0.0
O,30.0,0,48495,0.0,0.9699,0.030100000000000016,2e-05
O,31.0,0,48495,0.0,0.9699,0.030100000000000016,4e-05
O,32.0,0,48495,0.0,0.9699,0.030100000000000016,4e-05
O,33.0,0,48495,0.0,0.9699,0.030100000000000016,4e-05
