0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
mild,mild,mild,mild,chemical_pulse,chemical_pulse,mild,mild,wetting_drying,chemical_pulse,chemical_pulse,mild,chemical_pulse,chemical_pulse,mitigated,mitigated,mild,wetting_drying,wetting_drying,mild,wetting_drying,wetting_drying,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,flushing,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,flushing,mild,mitigated,mild,mild,mild,mild,mild
mild,wetting_drying,wetting_drying,wetting_drying,flushing,flushing,mild,flushing,mild,mild,chemical_pulse,mild,chemical_pulse,mild,wetting_drying,mild,flushing,mild,mild,wetting_drying,wetting_drying,wetting_drying,mild,wetting_drying,wetting_drying,mild,mild,mitigated,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mitigated,mild,mild,mild,flushing,flushing,flushing,mild,mild,mild,mild,flushing,flushing
mild,flushing,flushing,flushing,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,flushing,flushing,chemical_pulse,mild,mild,mild,mild,mild,chemical_pulse,chemical_pulse,mild,mild,wetting_drying,chemical_pulse,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,flushing,wetting_drying,flushing,flushing,flushing,mild,mild,mild,wetting_drying,mild,mild,mild,mild,mild,wetting_drying
mild,mild,wetting_drying,flushing,mitigated,mild,mild,mild,mild,wetting_drying,wetting_drying,mild,mild,mild,flushing,mitigated,mild,mild,wetting_drying,mitigated,mild,mild,mild,mitigated,mild,mild,wetting_drying,mild,mild,wetting_drying,wetting_drying,mitigated,mitigated,mitigated,mitigated,mild,mild,chemical_pulse,flushing,mild,mitigated,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,mild
mild,mild,mild,mild,chemical_pulse,mild,mild,mild,mild,mitigated,mitigated,mitigated,mitigated,mild,mild,flushing,wetting_drying,chemical_pulse,mild,mild,mild,mild,flushing,flushing,mild,mitigated,mild,wetting_drying,wetting_drying,mild,mild,mild,mild,wetting_drying,chemical_pulse,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild
mild,mild,mild,mild,mitigated,mitigated,mild,mild,wetting_drying,wetting_drying,mild,mild,mitigated,chemical_pulse,chemical_pulse,mild,mild,wetting_drying,wetting_drying,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,mitigated,mild,mild,wetting_drying,wetting_drying,mild,mild,chemical_pulse,mild,mild,flushing,mitigated,mitigated,mitigated,mild,flushing
mild,mild,wetting_drying,wetting_drying,wetting_drying,mild,mild,flushing,mild,mild,mild,mild,mild,wetting_drying,flushing,flushing,wetting_drying,mild,mild,wetting_drying,wetting_drying,wetting_drying,mitigated,wetting_drying,mild,mild,wetting_drying,wetting_drying,wetting_drying,mild,mild,wetting_drying,wetting_drying,mild,mild,mild,mild,wetting_drying,flushing,chemical_pulse,mild,mild,mild,mild,mild,chemical_pulse,chemical_pulse,flushing,wetting_drying,wetting_drying,mild
mild,mild,mild,mild,mild,mild,mild,mild,flushing,mild,mild,flushing,flushing,flushing,chemical_pulse,mild,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,flushing,flushing,mild,wetting_drying,mild,mild,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,flushing,mild,mild,mild,mild,mild,flushing,flushing,flushing,chemical_pulse,chemical_pulse,mild,mild
mild,mild,mitigated,flushing,mild,mild,mild,wetting_drying,mitigated,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,flushing,flushing,mild,mild,mild,mild,flushing,flushing,flushing,mild,flushing,mild,mild,mild,mild,wetting_drying,wetting_drying,flushing,chemical_pulse,chemical_pulse,mitigated,wetting_drying,wetting_drying,wetting_drying,mild,mild,mild,mild,mild,mild,mild
mild,mild,mild,mitigated,mild,mild,mild,mild,chemical_pulse,mild,mild,wetting_drying,wetting_drying,mild,mild,mild,mild,mild,mild,mild,mild,mild,mitigated,mitigated,mitigated,mitigated,mitigated,mild,mild,mild,mild,mild,mild,mild,mild,mild,mitigated,chemical_pulse,flushing,wetting_drying,wetting_drying,wetting_drying,wetting_drying,flushing,mitigated,mild,mild,mild,mild,mild,mild
mild,mild,mild,mild,mild,mild,mild,flushing,flushing,flushing,flushing,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,mild,mild,mild,mild,mild,mild,chemical_pulse,mild,mild,mild,mild,mild,mild,mild,chemical_pulse,flushing,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,chemical_pulse,mild,mild,mild,mild
mild,wetting_drying,wetting_drying,flushing,flushing,mild,mild,mild,wetting_drying,wetting_drying,mild,wetting_drying,mild,mild,mild,mild,mild,chemical_pulse,wetting_drying,flushing,flushing,mild,mild,mild,mitigated,mitigated,flushing,chemical_pulse,mild,mitigated,flushing,flushing,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,mild,wetting_drying,mild,mild,mild,mild,mild,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying,wetting_drying
mild,mild,mild,mild,mild,chemical_pulse,mild,mild,mild,mild,mild,chemical_pulse,chemical_pulse,mild,mild,mild,wetting_drying,mitigated,mitigated,mild,chemical_pulse,mild,mild,mild,mild,mild,mild,mild,mild,chemical_pulse,mild,mild,mild,mild,mitigated,wetting_drying,mild,mild,mild,wetting_drying,flushing,flushing,flushing,flushing,mitigated,mitigated,wetting_drying,wetting_drying,wetting_drying,mild,mild
mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mild,mitigated,mitigated,mitigated,mild,mild,mild,mild,mild,mild,wetting_drying,mild,mild,flushing,wetting_drying,wetting_drying,mild,chemical_pulse,wetting_drying,wetting_drying,wetting_drying,mild,mild,mild,mild,mitigated,mild,mild,flushing,mild,mild,mild,mild,wetting_drying,wetting_drying,mild,mild
