profile_parameter,fixed_value,objective,delta_objective
kH,0.2,5.961492213817046,5.954616101376594
kH,0.25333333333333335,4.72170937968601,4.714833267245559
kH,0.3066666666666667,3.5680816000861793,3.5612054876457275
kH,0.36,2.574228595094753,2.5673524826543015
kH,0.41333333333333333,1.7585669472956564,1.751690834855205
kH,0.4666666666666667,1.1168534258434084,1.109977313402957
kH,0.52,0.6363045183751409,0.6294284059346893
kH,0.5733333333333334,0.3014705982704903,0.2945944858300387
kH,0.6266666666666667,0.09665192021865451,0.08977580777820295
kH,0.68,0.006876112440451568,0.0
kH,0.7333333333333334,0.01827131853542304,0.011395206094971473
kH,0.7866666666666666,0.11818056020724599,0.11130444776679442
kH,0.8400000000000001,0.2951624083902844,0.28828629594983285
kH,0.8933333333333333,0.5389403880883579,0.5320642756479063
kH,0.9466666666666668,0.8403291275927209,0.8334530151522693
kH,1.0,1.1911506588104988,1.1842745463700473
kH,1.0533333333333335,1.5841478341051842,1.5772717216647327
kH,1.1066666666666667,2.0128987782301206,2.006022665789669
kH,1.1600000000000001,2.471734696064943,2.4648585836244914
kH,1.2133333333333334,2.955662415608905,2.948786303168453
kH,1.2666666666666666,3.4602924355274474,3.4534163230869956
kH,1.32,3.9817728285503984,3.9748967161099467
kH,1.3733333333333333,4.516729061032058,4.509852948591607
kH,1.4266666666666667,5.062209589275504,5.055333476835052
kH,1.48,5.615636961488889,5.608760849048437
kH,1.5333333333333334,6.174764073332293,6.167887960891841
kH,1.5866666666666667,6.737635181566798,6.730759069126346
kH,1.6400000000000001,7.3025512638339105,7.295675151393459
kH,1.6933333333333334,7.868039314882212,7.861163202441761
kH,1.7466666666666668,8.432825184371417,8.425949071930965
kH,1.8,8.995809584038462,8.98893347159801
kE,0.2,3.123990949210657,3.1130442288063866
kE,0.25333333333333335,2.241594002957507,2.230647282553237
kE,0.3066666666666667,1.4719753070895873,1.4610285866853174
kE,0.36,0.866018441205489,0.855071720801219
kE,0.41333333333333333,0.4299361647371869,0.41898944433291685
kE,0.4666666666666667,0.1529574143480772,0.14201069394380716
kE,0.52,0.018944248443541242,0.007997528039271218
kE,0.5733333333333334,0.010946720404270024,0.0
kE,0.6266666666666667,0.11288110198772656,0.10193438158345654
kE,0.68,0.3100699649469051,0.29912324454263506
kE,0.7333333333333334,0.5893439458775057,0.5783972254732357
kE,0.7866666666666666,0.9389826308454987,0.9280359104412287
kE,0.8400000000000001,1.3486025644409554,1.3376558440366855
kE,0.8933333333333333,1.8090332271140055,1.7980865067097356
kE,0.9466666666666668,2.3121957080915787,2.3012489876873086
kE,1.0,2.8509889491261333,2.840042228721863
kE,1.0533333333333335,3.41918487734939,3.40823815694512
kE,1.1066666666666667,4.011332531898237,4.000385811493967
kE,1.1600000000000001,4.622670896504633,4.6117241761003624
kE,1.2133333333333334,5.249050020721967,5.238103300317697
kE,1.2666666666666666,5.886859957873215,5.875913237468945
kE,1.32,6.532967014116019,6.522020293711749
kE,1.3733333333333333,7.184656779649878,7.173710059245608
kE,1.4266666666666667,7.839583400430019,7.828636680025749
kE,1.48,8.495724547944619,8.484777827540348
kE,1.5333333333333334,9.151341555285889,9.140394834881619
kE,1.5866666666666667,9.804944208206482,9.793997487802212
kE,1.6400000000000001,10.45525970774965,10.44431298734538
kE,1.6933333333333334,11.101205353931647,11.090258633527377
kE,1.7466666666666668,11.741864535637657,11.730917815233386
kE,1.8,12.376465648563201,12.36551892815893
rs,0.02,12.018792844229388,12.013985327091696
rs,0.042666666666666665,9.448907849847725,9.444100332710033
rs,0.06533333333333333,7.187772289420034,7.182964772282343
rs,0.088,5.235386162946329,5.230578645808638
rs,0.11066666666666666,3.591749470426602,3.5869419532889104
rs,0.13333333333333333,2.2568622118608532,2.2520546947231614
rs,0.15599999999999997,1.2307243872490907,1.225916870111399
rs,0.17866666666666664,0.5133359965913106,0.5085284794536188
rs,0.2013333333333333,0.10469703988750909,0.09988952274981736
rs,0.22399999999999998,0.004807517137691732,0.0
rs,0.24666666666666665,0.21366742834185484,0.2088599112041631
rs,0.2693333333333333,0.7312767735000002,0.7264692563623084
rs,0.292,1.5576355526121244,1.5528280354744326
rs,0.31466666666666665,2.692743765678232,2.6879362485405403
rs,0.3373333333333333,4.136601412698327,4.1317938955606355
rs,0.36,5.889208493672406,5.884400976534715
rs,0.38266666666666665,7.950565008600458,7.945757491462767
rs,0.4053333333333333,8.499877793632614,8.495070276494921
rs,0.428,8.708988005472893,8.7041804883352
rs,0.45066666666666666,8.934227223389762,8.92941970625207
rs,0.47333333333333333,9.175595447383177,9.170787930245485
rs,0.496,9.433092677453175,9.428285160315482
rs,0.5186666666666666,9.706718913599747,9.701911396462055
rs,0.5413333333333333,9.996474155822895,9.991666638685203
rs,0.564,10.302358404122614,10.297550886984922
rs,0.5866666666666667,10.624371658498887,10.619564141361195
rs,0.6093333333333333,10.962513918951736,10.957706401814043
rs,0.632,11.316785185481175,11.311977668343483
rs,0.6546666666666666,11.687185458087168,11.682377940949475
rs,0.6773333333333333,12.073714736769734,12.068907219632042
rs,0.7,12.476373021528893,12.4715655043912
chimin,0.35,0.0,0.0
