Scenario,year,n_survivors,d_new_crossings,hazard,nu_minus_per_year
M,1.0,120000,0,0.0,0.0
M,2.0,120000,0,0.0,0.0
M,3.0,120000,0,0.0,0.0
M,4.0,120000,0,0.0,0.0
M,5.0,120000,0,0.0,0.0
M,6.0,120000,0,0.0,0.0
M,7.0,120000,0,0.0,0.0
M,8.0,120000,0,0.0,0.0
M,9.0,120000,0,0.0,0.0
M,10.0,120000,0,0.0,0.0
M,11.0,120000,0,0.0,0.0
M,12.0,120000,4,3.3333333333333335e-05,3.3333333333333335e-05
M,13.0,119996,0,0.0,0.0
M,14.0,119996,4,3.333444448148272e-05,3.333444448148272e-05
M,15.0,119992,1,8.333888925928395e-06,8.333888925928395e-06
M,16.0,119991,5,4.1669791901059244e-05,4.1669791901059244e-05
M,17.0,119986,3,2.500291700698415e-05,2.500291700698415e-05
M,18.0,119983,3,2.5003542168473868e-05,2.5003542168473868e-05
M,19.0,119980,6,5.000833472245374e-05,5.000833472245374e-05
M,20.0,119974,7,5.83459749612416e-05,5.83459749612416e-05
M,21.0,119967,10,8.335625630381688e-05,8.335625630381688e-05
M,22.0,119957,14,0.00011670848720791616,0.00011670848720791616
M,23.0,119943,17,0.0001417339903120649,0.0001417339903120649
M,24.0,119926,8,6.670780314527291e-05,6.670780314527291e-05
M,25.0,119918,18,0.0001501025700895612,0.0001501025700895612
M,26.0,119900,20,0.00016680567139282736,0.00016680567139282736
M,27.0,119880,24,0.0002002002002002002,0.0002002002002002002
M,28.0,119856,21,0.00017521025230276331,0.00017521025230276331
M,29.0,119835,19,0.00015855134142779656,0.00015855134142779656
M,30.0,119816,23,0.00019196100687721173,0.00019196100687721173
M,31.0,119793,29,0.00024208426201864882,0.00024208426201864882
M,32.0,119764,34,0.0002838916535853846,0.0002838916535853846
M,33.0,119730,28,0.0002338595172471394,0.0002338595172471394
M,34.0,119702,39,0.0003258090925799068,0.0003258090925799068
M,35.0,119663,34,0.0002841312686461145,0.0002841312686461145
M,36.0,119629,44,0.0003678037933945782,0.0003678037933945782
