lambda_per_year,c_b0_kpa,H_over_B,q_service_kpa,eta_50yr,q_u_50yr_kpa,FS_50yr,serviceability_index_50yr,safe_ultimate_FS_ge_1_5,safe_service_index_le_0_045
0.012,10,0.35,650,0.6390493088752212,1160.8643253474963,1.7859451159192252,0.04452518391387243,1,1
0.012,10,0.35,800,0.6390493088752212,1160.8643253474963,1.4510804066843703,0.054800226355535296,0,0
0.012,10,0.35,950,0.6390493088752212,1160.8643253474963,1.2219624477342066,0.06507526879719816,0,0
0.012,10,0.35,1100,0.6390493088752212,1160.8643253474963,1.0553312048613603,0.07535031123886103,0,0
0.012,10,0.75,650,0.6390493088752212,1294.939496837781,1.9922146105196632,0.030141066566415495,1,1
0.012,10,0.75,800,0.6390493088752212,1294.939496837781,1.6186743710472262,0.037096697312511376,1,1
0.012,10,0.75,950,0.6390493088752212,1294.939496837781,1.3630942071976642,0.04405232805860727,0,1
0.012,10,0.75,1100,0.6390493088752212,1294.939496837781,1.1772177243979827,0.05100795880470315,0,0
0.012,10,1.25,650,0.6390493088752212,1383.7306718673103,2.1288164182574003,0.024814300536423927,1,1
0.012,10,1.25,800,0.6390493088752212,1383.7306718673103,1.729663339834138,0.030540677583290987,1,1
0.012,10,1.25,950,0.6390493088752212,1383.7306718673103,1.4565586019655898,0.036267054630158044,0,1
0.012,10,1.25,1100,0.6390493088752212,1383.7306718673103,1.2579369744248277,0.04199343167702511,0,1
0.012,10,1.75,650,0.6390493088752212,1427.197651045278,2.1956886939158125,0.02294658792053305,1,1
0.012,10,1.75,800,0.6390493088752212,1427.197651045278,1.7839970638065976,0.028241954363732984,1,1
0.012,10,1.75,950,0.6390493088752212,1427.197651045278,1.5023133168897662,0.03353732080693292,1,1
0.012,10,1.75,1100,0.6390493088752212,1427.197651045278,1.2974524100411617,0.03883268725013286,0,1
0.012,16,0.35,650,0.6390493088752212,1215.6850521435604,1.8702846956054775,0.04251734237746217,1,1
0.012,16,0.35,800,0.6390493088752212,1215.6850521435604,1.5196063151794506,0.052329036772261125,1,0
0.012,16,0.35,950,0.6390493088752212,1215.6850521435604,1.2796684759405899,0.0621407311670601,0,0
0.012,16,0.35,1100,0.6390493088752212,1215.6850521435604,1.1051682292214184,0.07195242556185906,0,0
0.012,16,0.75,650,0.6390493088752212,1386.5440782574756,2.1331447357807316,0.028149741638736615,1,1
0.012,16,0.75,800,0.6390493088752212,1386.5440782574756,1.7331800978218446,0.034645835863060456,1,1
0.012,16,0.75,950,0.6390493088752212,1386.5440782574756,1.4595200823762902,0.04114193008738429,0,1
0.012,16,0.75,1100,0.6390493088752212,1386.5440782574756,1.2604946165977051,0.047638024311708126,0,0
0.012,16,1.25,650,0.6390493088752212,1499.695331576252,2.307223587040388,0.02289552286403007,1,1
0.012,16,1.25,800,0.6390493088752212,1499.695331576252,1.8746191644703152,0.02817910506342163,1,1
0.012,16,1.25,950,0.6390493088752212,1499.695331576252,1.5786266648171075,0.03346268726281318,1,1
0.012,16,1.25,1100,0.6390493088752212,1499.695331576252,1.3633593923420473,0.03874626946220473,0,1
0.012,16,1.75,650,0.6390493088752212,1555.087583906875,2.3924424367798074,0.0210594674657565,1,1
0.012,16,1.75,800,0.6390493088752212,1555.087583906875,1.9438594798835935,0.025919344573238773,1,1
0.012,16,1.75,950,0.6390493088752212,1555.087583906875,1.636934298849342,0.030779221680721044,1,1
0.012,16,1.75,1100,0.6390493088752212,1555.087583906875,1.4137159853698862,0.03563909878820331,0,1
0.012,22,0.35,650,0.6390493088752212,1270.5057789396246,1.9546242752917302,0.040682772516225554,1,1
0.012,22,0.35,800,0.6390493088752212,1270.5057789396246,1.5881322236745308,0.05007110463535454,1,0
0.012,22,0.35,950,0.6390493088752212,1270.5057789396246,1.3373745041469733,0.05945943675448351,0,0
0.012,22,0.35,1100,0.6390493088752212,1270.5057789396246,1.155005253581477,0.06884776887361249,0,0
0.012,22,0.75,650,0.6390493088752212,1478.1486596771704,2.2740748610418007,0.026405231515883212,1,1
0.012,22,0.75,800,0.6390493088752212,1478.1486596771704,1.847685824596463,0.03249874648108703,1,1
0.012,22,0.75,950,0.6390493088752212,1478.1486596771704,1.5559459575549162,0.03859226144629084,1,1
0.012,22,0.75,1100,0.6390493088752212,1478.1486596771704,1.3437715087974276,0.04468577641149466,0,1
0.012,22,1.25,650,0.6390493088752212,1615.6599912851939,2.485630755823375,0.02125218730326426,1,1
0.012,22,1.25,800,0.6390493088752212,1615.6599912851939,2.0195749891064922,0.026156538219402167,1,1
0.012,22,1.25,950,0.6390493088752212,1615.6599912851939,1.700694727668625,0.031060889135540073,1,1
0.012,22,1.25,1100,0.6390493088752212,1615.6599912851939,1.4687818102592671,0.03596524005167798,0,1
0.012,22,1.75,650,0.6390493088752212,1682.977516768472,2.589196179643803,0.019459152634772874,1,1
0.012,22,1.75,800,0.6390493088752212,1682.977516768472,2.10372189596059,0.02394972631972046,1,1
0.012,22,1.75,950,0.6390493088752212,1682.977516768472,1.7715552808089179,0.028440300004668045,1,1
0.012,22,1.75,1100,0.6390493088752212,1682.977516768472,1.5299795606986109,0.03293087368961563,1,1
0.012,30,0.35,650,0.6390493088752212,1343.6000813343771,2.067077048206734,0.03846955526663694,1,1
0.012,30,0.35,800,0.6390493088752212,1343.6000813343771,1.6795001016679714,0.04734714494355315,1,0
0.012,30,0.35,950,0.6390493088752212,1343.6000813343771,1.414315875088818,0.056224734620469376,0,0
0.012,30,0.35,1100,0.6390493088752212,1343.6000813343771,1.2214546193948883,0.06510232429738559,0,0
0.012,30,0.75,650,0.6390493088752212,1600.2881015700968,2.461981694723226,0.02438989425427437,1,1
0.012,30,0.75,800,0.6390493088752212,1600.2881015700968,2.000360126962621,0.03001833138987615,1,1
0.012,30,0.75,950,0.6390493088752212,1600.2881015700968,1.6845137911264176,0.03564676852547793,1,1
0.012,30,0.75,1100,0.6390493088752212,1600.2881015700968,1.4548073650637243,0.04127520566107971,0,1
