parameter,rank_correlation_with_50yr_margin,absolute_rank_correlation
phi_m,0.7258371606575161,0.7258371606575161
theta_R,0.36859807484302065,0.36859807484302065
q_service,-0.3270367145532525,0.3270367145532525
theta_Q,-0.2163560003710039,0.2163560003710039
lambda,-0.21160339688148633,0.21160339688148633
eta_r,0.13093160111724272,0.13093160111724272
c_b0,0.1115745356564149,0.1115745356564149
delta_tan_phi,0.09448396184657515,0.09448396184657515
B,0.07538038488542224,0.07538038488542224
H_over_B,0.07018260047656823,0.07018260047656823
eta0,0.04425297723589289,0.04425297723589289
