aE,sI_threshold,q_service_kpa,serviceability_index_50yr,passes_threshold
2.5,0.035,350,0.028817578414365396,True
2.5,0.035,500,0.04116796916337914,False
2.5,0.035,900,0.07410234449408246,False
2.5,0.045,350,0.028817578414365396,True
2.5,0.045,500,0.04116796916337914,True
2.5,0.045,900,0.07410234449408246,False
2.5,0.06,350,0.028817578414365396,True
2.5,0.06,500,0.04116796916337914,True
2.5,0.06,900,0.07410234449408246,False
4.2,0.035,350,0.022335378975363702,True
4.2,0.035,500,0.031907684250519576,True
4.2,0.035,900,0.057433831650935234,False
4.2,0.045,350,0.022335378975363702,True
4.2,0.045,500,0.031907684250519576,True
4.2,0.045,900,0.057433831650935234,False
4.2,0.06,350,0.022335378975363702,True
4.2,0.06,500,0.031907684250519576,True
4.2,0.06,900,0.057433831650935234,True
6.0,0.035,350,0.018039013063609485,True
6.0,0.035,500,0.025770018662299263,True
6.0,0.035,900,0.04638603359213867,False
6.0,0.045,350,0.018039013063609485,True
6.0,0.045,500,0.025770018662299263,True
6.0,0.045,900,0.04638603359213867,False
6.0,0.06,350,0.018039013063609485,True
6.0,0.06,500,0.025770018662299263,True
6.0,0.06,900,0.04638603359213867,True
