mean_qu50,cov_qu50,q5_qu50,q50_qu50,q95_qu50,pf50,beta50,p_serviceability_index_gt_0p045,delta_beta_vs_averaged,case,theta_h_over_B,theta_v_over_B
1309.0520895282402,0.007887915775453856,1292.8667210603069,1308.4596811742977,1326.8652813806477,0.0006,3.2388801183529776,0.0,-0.11391466215185098,grid_0.25_0.1,0.25,0.1
1308.841441408338,0.012166885092911965,1283.3174765026963,1308.344589530672,1335.8446579663982,0.002,2.878161739095483,0.0,-0.4746330414093456,grid_0.5_0.1,0.5,0.1
1307.6447432031337,0.016391790858584103,1274.2603802238993,1306.4068669356277,1344.7063023582505,0.0024,2.8201580593201587,0.0,-0.5326367211846699,grid_1.0_0.1,1.0,0.1
1307.2049097528454,0.020673002199576445,1265.3767304965804,1305.708352259836,1354.1353512068547,0.0028,2.7703272333521762,0.0,-0.5824675471526524,grid_2.0_0.1,2.0,0.1
1308.9395141157097,0.008599515331446326,1291.3525587721629,1308.5544969460643,1328.4928040948537,0.0022,2.847963287487918,0.0,-0.5048314930169107,grid_0.25_0.25,0.25,0.25
1308.8898959010198,0.013161220091778876,1282.022288715051,1307.8374742107012,1339.0242990319482,0.0016,2.9478425521849063,0.0,-0.4049522283199223,grid_0.5_0.25,0.5,0.25
1308.2871171930924,0.018271848169285163,1271.9632343304781,1306.6794787834724,1351.1476721149563,0.0022,2.847963287487918,0.0,-0.5048314930169107,grid_1.0_0.25,1.0,0.25
1308.1764598408856,0.02251120796013523,1265.1598694648887,1305.9314377929313,1360.9961267223632,0.0012,3.0356723666270735,0.0,-0.3171224138777551,grid_2.0_0.25,2.0,0.25
1308.7529654493776,0.009765804618409741,1288.6935170980887,1308.2516732722254,1330.9031971131699,0.0022,2.847963287487918,0.0,-0.5048314930169107,grid_0.25_0.5,0.25,0.5
1308.7947710737058,0.015069516060074305,1278.7895871850678,1307.556427430885,1343.8988060319423,0.0016,2.9478425521849063,0.0,-0.4049522283199223,grid_0.5_0.5,0.5,0.5
1307.9557044684018,0.020317556316569473,1269.0592514576751,1305.57222481893,1356.0902057610788,0.002,2.878161739095483,0.0,-0.4746330414093456,grid_1.0_0.5,1.0,0.5
1306.911690466056,0.024862203814292414,1260.384774770741,1303.1263639864467,1366.9958015298014,0.0018,2.9112377262430056,0.0,-0.441557054261823,grid_2.0_0.5,2.0,0.5
1308.9466811720138,0.010461138685612275,1287.187426552196,1308.5461792279746,1332.020090698309,0.0018,2.9112377262430056,0.0,-0.441557054261823,grid_0.25_1.0,0.25,1.0
1308.0435860065047,0.01579741118552371,1276.7344161680621,1306.4513731137679,1344.9495021901014,0.0016,2.9478425521849063,0.0,-0.4049522283199223,grid_0.5_1.0,0.5,1.0
1308.506782812618,0.02188992350632994,1265.884532931489,1305.7380230937722,1360.6384825309394,0.0018,2.9112377262430056,0.0,-0.441557054261823,grid_1.0_1.0,1.0,1.0
1306.5316008000752,0.026563073171000984,1258.0501826822872,1301.6596933483281,1372.2634705517153,0.0026,2.7943758687810414,0.0,-0.5584189117237872,grid_2.0_1.0,2.0,1.0
